Ada Lovelace,1815,December,10
Hedy Lamarr,1914,November,9
Alan Turing,1912,June,23
Grace Hopper,1906,December,9
Emmy Noether,1882,March,23
M.C. Escher,1898,June,17
Rani Padmini,13th century,Unknown,Unknown
Kurt Gödel,1906,April,28
Mary Anning,1799,May,21
Nikola Tesla,1856,July,10
Claude Shannon,1916,April,30
Gerty Cori,1896,August,15
Niels Bohr,1885,October,7
Erwin Schrödinger,1887,August,12
Barbara McClintock,1902,June,16
Max Planck,1858,April,23
Lise Meitner,1878,November,7
Alan Shepherd,1923,November,18
Alan Lomax,1915,January,31
Clyde Tombaugh,1906,February,4
Leo Fender,1909,August,10
Jacqueline Susann,1918,August,20
Gene Kelly,1912,August,23
Geraldine Ferraro,1935,August,26
